sample,type
5f69241604f47cb6b53967de.json,Scan port 135 DCOM RPC (S3#)
5bee26dabb5ab639d6e3ed70.json,Mirai Variant &amp;quot;Sefa&amp;quot;
5f710d9fb4dcac9ae834d944.json,Scan port 53 DNS (S3#)
5f6c704864faac3e7a25fc18.json,Scan port 81 Skype (S3#)
5f6dc180d5b7aabc3200c065.json,Scan port 1900 UPnP (S3#)
5f73072846e8d0b02c00c065.json,Scan port 135 DCOM RPC (S3#)
5f6d19100e04788136e89367.json,Scan port 3389 RDP (S3#)
5f7307856a5dc72d8512fdcc.json,Scan port 5060 SIP (S3#)
5bd1d7cf97d96104d41e2c91.json,Mirai malware on Metadefender.com
5f710d2446aef44d29c799ee.json,Scan port 5060 SIP (S3#)
5f6a034f0bf78b17208c9a71.json,Mirai Botnet
5f7ee6368d82d1f565a20d9c.json,Scan port 3389 RDP (S3#)
5f75017b535771c7852e2caf.json,Scan port 135 DCOM RPC (S3#)
5f69ace13cda7a354ce711db.json,NewDom-2-20200922
5f6bc7abc9ad5214a900c065.json,Scan port 3389 RDP (S3#)
5f73b08f95f7544f9975d99e.json,Scan port 3389 RDP (S3#)
5f7aefd4eb7584696cd5744f.json,Scan port 8080 HTTP and proxy (S3#)
5f6a76451ad36ba0f5a5bfa9.json,Scan port 53 DNS (S3#)
5f687df18a04cf5a3d66a8d5.json,Scan port 23 Telnet (S3#)
5f7458ebd528d4d64d93d2bf.json,Scan port 1900 UPnP (S3#)
5f6d18b38dc50c1265c8511e.json,Scan port 5060 SIP (S3#)
5f799edfe92f2bcc44b6ba04.json,Scan port 139 NETBIOS (S3#)
5f7064583234e1f61dfbab0a.json,Scan port 139 NETBIOS (S3#)
5f7c429071b636078c83119c.json,Scan port 3389 RDP (S3#)
5f6923b9cabd1033a1de8cf1.json,Scan port 8080 HTTP and proxy (S3#)
5f799ec06f069d9bf6945292.json,Scan port 135 DCOM RPC (S3#)
5f76fc435dcb9a77fda50cac.json,Scan port 3389 RDP (S3#)
5f77a53f175596fbea104a89.json,Scan port 53 DNS (S3#)
5f6fbb8ad6fdf62c7c33df15.json,Scan port 139 NETBIOS (S3#)
5f78f625f004e17eddb49526.json,Scan port 1900 UPnP (S3#)
5f7c42af211fdb84d2e22bd1.json,Scan port 53 DNS (S3#)
5f6b1ed8b4d1247b9be03cd8.json,Scan port 81 Skype (S3#)
5f80de7a23fd7d1885f6a963.json,Scan port 8080 HTTP and proxy (S3#)
5f799e6352fb93c270983add.json,Scan port 8080 HTTP and proxy (S3#)
5f7652ddc9447f9a453bafaa.json,Scan port 135 DCOM RPC (S3#)
5f78f6a04d8f6d9447b6ba04.json,Scan port 3389 RDP (S3#)
5f745b5235c74174e9234529.json,Scan port 23 Telnet (S3#)
5f710f8b6a3029ad2e303c0f.json,Scan port 445 SMB (S3#)
5f65d8ab509617484cba842e.json,Scan port 3389 RDP (S3#)
5f6dc1614a03b55016b9c337.json,Scan port 139 NETBIOS (S3#)
5f6f12e2f0cee29481e2169e.json,Scan port 1900 UPnP (S3#)
5f6078c631321bf48f646710.json,Scan port 1900 UPnP (S3#)
5f65d850c6348d7dd241204c.json,Scan port 5060 SIP (S3#)
5f7064d5c3a36c327436b7c4.json,Scan port 81 Skype (S3#)
5f80df138d7bebed725e1137.json,Scan port 1900 UPnP (S3#)
5f7653b6cc16eedcd2104a89.json,Scan port 53 DNS (S3#)
5f6bc99b39e6bf36f21863a9.json,Scan port 23 Telnet (S3#)
5f78f88e81ad9d27202934c0.json,Scan port 23 Telnet (S3#)
5f6f154c31841da95734d944.json,Scan port 23 Telnet (S3#)
5f6f137e19b153e707c8511e.json,Scan port 53 DNS (S3#)
5f6926c00462a8d4cf8e0ca5.json,Scan port 23 Telnet (S3#)
5f7594fc33a03cfc325542ed.json,IoT remote control Trojan
5f71b84caadfb81d8154e02f.json,Scan port 23 Telnet (S3#)
5f7b98fda2ab61ec7da7d44e.json,Scan port 111 PORTMAP (S3#)
5f67d2bf189519b1897a7616.json,Scan port 5060 SIP (S3#)
5f7458ad455d3ae779234529.json,Scan port 135 DCOM RPC (S3#)
5f6b1e5d36165021eae03cd8.json,Scan port 139 NETBIOS (S3#)
5f750426398404bab62e2caf.json,Scan port 23 Telnet (S3#)
5f6c706724a73547c548a71e.json,Scan port 3389 RDP (S3#)
5f73b27ac7842c1dc586ea23.json,Scan port 23 Telnet (S3#)
5f6e6a001a4e00040be9b86d.json,Scan port 139 NETBIOS (S3#)
5f7260ea7e23b14ba0c799ee.json,Scan port 23 Telnet (S3#)
5f73b2999121a1072293d2bf.json,Scan port 445 SMB (S3#)
5f7ced390af8effcc093aceb.json,Scan port 445 SMB (S3#)
5f78f6817e8634c7ff3bafaa.json,Scan port 81 Skype (S3#)
5f672aa6c0b378c2592673ec.json,Scan port 3389 RDP (S3#)
5f7652fc86aa0cc58b104a89.json,Scan port 139 NETBIOS (S3#)
5f69245494fffec1f0147ac1.json,Scan port 1900 UPnP (S3#)
5bcf29707d91836734880279.json,Weekly Mirai Activity Report - 2018-09-17
5f74a03fb74e50e9ad2a40bd.json,Ttint: An IoT remote control Trojan spread through 0-day vulnerabilities
5f80de99bb78b44b4913c757.json,Scan port 123 NTP (S3#)
5f7653777925d10d43104a89.json,Scan port 81 Skype (S3#)
5f71b65fbc8262b54c303c0f.json,Scan port 3389 RDP (S3#)
5f725de6455f25af97e2169e.json,Scan port 8080 HTTP and proxy (S3#)
5f7f90a410c708557913c758.json,Scan port 445 SMB (S3#)
5f765280c6c9b4e9f8415f3f.json,Scan port 8080 HTTP and proxy (S3#)
5f784cd60a0c1fd1ec5542ed.json,Scan port 8080 HTTP and proxy (S3#)
5f6d17fa350826cf9936b7c4.json,Scan port 8080 HTTP and proxy (S3#)
5f6681b15c418d3a04f0856d.json,Scan port 3389 RDP (S3#)
5f5f33cec73332aab2bb036a.json,Mirai Botnet
5f7af0ec347e6232525542ed.json,Scan port 3389 RDP (S3#)
5c0473468a36f918b4b60234.json,Malware dataset 20181202 | Network
5f8036914c0b080e4e5e1138.json,Scan port 1900 UPnP (S3#)
5f8035d62010a324c17f88af.json,Scan port 3390 DSC (S3#)
5f75acacaafbafe65ab49526.json,Scan port 23 Telnet (S3#)
5b95f1a2463e0931854fcfc4.json,"Multi-exploit IoT/Linux Botnets Mirai and Gafgyt Target Apache Struts, SonicWall"
5f7652be5fa9e6db2bbef87e.json,Scan port 111 PORTMAP (S3#)
5f75a9e8d665cce8c4415f3f.json,Scan port 111 PORTMAP (S3#)
5f65dab40cbfc8124e10c096.json,Scan port 445 SMB (S3#)
5f6b20e3d0a9891885d0a1ee.json,Scan port 23 Telnet (S3#)
5f69ccf52ef83431df58e4c0.json,Scan port 139 NETBIOS (S3#)
5f6729cb1f0677d5107a7616.json,Scan port 111 PORTMAP (S3#)
5f781e7f93f5b0fab62934c0.json,Scan port 111 PORTMAP (S3#)
5f66819246fb1787d741204c.json,Scan port 81 Skype (S3#)
5f65d7d4fba7466c3c43dffb.json,Scan port 111 PORTMAP (S3#)
5f799f7a5e9a7c94bc505d5f.json,Scan port 3389 RDP (S3#)
5f3a3492a9f20984147b9b28.json,Mirai Botnet
5f725efba0f4c82f5c00c065.json,Scan port 3389 RDP (S3#)
5f6e6a1f3504e1a0d0c799ee.json,Scan port 1900 UPnP (S3#)
5f6f1301e5e9ac9dc1e2169e.json,Scan port 5060 SIP (S3#)
5f6a758b096b49d7648c9a72.json,Scan port 139 NETBIOS (S3#)
5f7af08e062bc1a7fd983add.json,Scan port 5060 SIP (S3#)
5f7e3c3ce1439309d5339049.json,Scan port 111 PORTMAP (S3#)
5f799f5ae6b9368a6a2934c0.json,Scan port 81 Skype (S3#)
5f7af04f0704210213a50cac.json,Scan port 139 NETBIOS (S3#)
5f6bc9ba9ac150d94e00c065.json,Scan port 445 SMB (S3#)
5f7308008098b0efd3e9b86d.json,Scan port 53 DNS (S3#)
5b4444f76a38fd6495dc5f86.json,Various type Mirai botnet infection source IP you must block!
5f6e69e1cf610f0682730eda.json,Scan port 135 DCOM RPC (S3#)
5f68aa7a5f0fd371ecfcea81.json,Mozi Botnet Accounts for Majority of IoT Traffic
5f745851bc0cc46a40d521f3.json,Scan port 8080 HTTP and proxy (S3#)
5f784fd6835aba12575542ed.json,Scan port 23 Telnet (S3#)
5f7459858b9737b6c6f045f6.json,Scan port 53 DNS (S3#)
5f6c6fcb02c07626891863a9.json,Scan port 139 NETBIOS (S3#)
5f7064b6f96fd1a1f400c065.json,Scan port 5061 SIP (S3#)
5f80370cf0de9382f3253aef.json,Scan port 3389 RDP (S3#)
5f725edc949531366f48a71e.json,Scan port 81 Skype (S3#)
5f7b98bf596eff610fd5a1fb.json,Scan port 8080 HTTP and proxy (S3#)
5f73b033d52c54e2b72a40bd.json,Scan port 5060 SIP (S3#)
5f6e6c87b90379d16d33df15.json,Scan port 23 Telnet (S3#)
5f799ea0074cba18045542ed.json,Scan port 111 PORTMAP (S3#)
5f6f1285c15ce3973c303c0f.json,Scan port 111 PORTMAP (S3#)
5f7af2d726eadccf0d888480.json,Scan port 23 Telnet (S3#)
5f76558387e197f5162934c0.json,Scan port 23 Telnet (S3#)
5f6dc412c5d81f525d53c50e.json,Scan port 445 SMB (S3#)
5f7655a2869ac7dc90b49526.json,Scan port 445 SMB (S3#)
5f803614b192a5081da3eb4c.json,Scan port 123 NTP (S3#)
5f725e80bf91158182303c0f.json,Scan port 1900 UPnP (S3#)
5f710d80f7e785dcda00c065.json,Scan port 3389 RDP (S3#)
5b96c50a463e09042d69f01f.json,"Multi-exploit IoT/Linux Botnets Mirai and Gafgyt Target Apache Struts, SonicWall"
5f7064f4c7aa9e318254e02f.json,Scan port 3389 RDP (S3#)
5f6bc711e64aead40ae89367.json,Scan port 139 NETBIOS (S3#)
5b56a4e58fb8a15a38e3bff2.json,Mirai Botnet
5f6fbbc80f6290afaf730eda.json,Scan port 5060 SIP (S3#)
5f75aa81871a9ff22c5542ed.json,Scan port 5061 SIP (S3#)
5f6dc1a04dcf24075c303c0f.json,Scan port 5060 SIP (S3#)
5f7b995aaefda5ead63b34ed.json,Scan port 1900 UPnP (S3#)
5f73b07024ce4dd082842814.json,Scan port 81 Skype (S3#)
5f6e6abae52785bc1fb9c337.json,Scan port 53 DNS (S3#)
5f76fe333c7b64e0ce2934c0.json,Scan port 23 Telnet (S3#)
5b5725b99865c36bc51e2312.json,Open ADB Ports Being Exploited to Spread Possible Satori Variant in Android Devices - TrendLabs Security Intelligence Blog
5f6924f01dd23276ce7f48ac.json,Scan port 53 DNS (S3#)
5f71b640f8947369e600c065.json,Scan port 81 Skype (S3#)
5f65d8ca73b8ba96b0e55fe7.json,Scan port 53 DNS (S3#)
5f6a7812e4f142b0db6278ce.json,Scan port 23 Telnet (S3#)
5f75990b5e2e4a9dc0888480.json,NewDom-4-20201001
5f7c42331c3742c0fbf69b6a.json,Scan port 5060 SIP (S3#)
5f7ee5b9492333d1f4d5a1fb.json,Scan port 1900 UPnP (S3#)
5f7309cb9522cb779034d944.json,Scan port 23 Telnet (S3#)
5f672a09a0c82937a02673ec.json,Scan port 139 NETBIOS (S3#)
5f67d2fc6d0de9e3009e9a4e.json,Scan port 81 Skype (S3#)
5f69cd368273ef3437aee718.json,Scan port 5060 SIP (S3#)
5f64d38d175e3d50e59e9a4e.json,A New Botnet Attack Just Mozied Into Town
5f7307c218b06aa6ecc799ee.json,Scan port 81 Skype (S3#)
5f6d18931a6a26f79848a71e.json,Scan port 1900 UPnP (S3#)
5f7f8d824c9b9c36ec56a3aa.json,Scan port 8080 HTTP and proxy (S3#)
5a787f34a0cfdc7fb5945d8b.json,Mirai is Attacking Again
5f7f8dfddd4e053f7396777c.json,Scan port 139 NETBIOS (S3#)
5f7d935e5acedd0ca7fd4ff4.json,Scan port 111 PORTMAP (S3#)
5b6f3ea06ec8893e1cc5e120.json,Satori/Mirai samples injected into honeypot
5f7c417a9349f4beb993aceb.json,Scan port 8080 HTTP and proxy (S3#)
5f67d1c8db9ba2d7899bcb5f.json,Scan port 3306 MYSQL (S3#)
5f77a4a323508b90815542ed.json,Scan port 1900 UPnP (S3#)
5f67d24266728da11b7202f5.json,Scan port 111 PORTMAP (S3#)
5f7f8e3b926ff6a68312fff7.json,Scan port 5060 SIP (S3#)
5f77a4e2836ff07976945293.json,Scan port 5061 SIP (S3#)
5f71b5e3e7ddf76d6e34d944.json,Scan port 1900 UPnP (S3#)
5f74590a7e05cb2ff755bd5a.json,Scan port 5060 SIP (S3#)
5f69cd168273ef3437aee717.json,Scan port 1900 UPnP (S3#)
5f7501ba9f50cb7f3f3af6fe.json,Scan port 1900 UPnP (S3#)
5f7ee55d7e0e63bd46bcd021.json,Scan port 111 PORTMAP (S3#)
5f3d4655583bc000fa47b0df.json,Mirai botnet brute forces thousands of Linux servers' passwords
5f7ee5d9b6d9375a3bf69b6a.json,Scan port 5060 SIP (S3#)
5f76539667ec6f8c5a3bafaa.json,Scan port 3389 RDP (S3#)
5f6dc1dd2365f8eb78bb7f1d.json,Scan port 81 Skype (S3#)
5f69cd737860fa89cb58e4bf.json,Scan port 81 Skype (S3#)
5f799f9a4f69655145415f3f.json,Scan port 53 DNS (S3#)
5f73aff5e2a7a0c25575d99f.json,Scan port 139 NETBIOS (S3#)
5f78f64476cef41e6d505d5f.json,Scan port 5060 SIP (S3#)
5f6680d835702276a4f0856d.json,Scan port 111 PORTMAP (S3#)
5f7ee6552ac400360a83119c.json,Scan port 53 DNS (S3#)
5f75aaa0e7b35da4b22e2caf.json,Scan port 81 Skype (S3#)
5f6b2102076f5f71fd346210.json,Scan port 445 SMB (S3#)
5f7502567a50fa516b888480.json,Scan port 53 DNS (S3#)
5f73afb7fdf5cb5e2b234529.json,Scan port 111 PORTMAP (S3#)
5f630f6d505fc801ba4c5af7.json,NewDom-3-20200917
5f797729ca77f410965542ed.json,NewDom-3-20200917
5f7b9997dc4fd6729ba7d44e.json,Scan port 5061 SIP (S3#)
5f7f8e986141074137a1c76c.json,Scan port 3389 RDP (S3#)
5f73076603f3f2d8a91863a9.json,Scan port 1900 UPnP (S3#)
5f75e3ca80282eeabfbef87e.json,Attacker using two Tenda router 0-day vulnerabilities to spread a remote control Trojan (RAT)
5f672c921d9ef41f75ba842e.json,Scan port 23 Telnet (S3#)
5f7c42713ac2ea89dcd5a1fb.json,Scan port 81 Skype (S3#)
5f73afd6e2a7a0c25575d99e.json,Scan port 135 DCOM RPC (S3#)
5f725f1a4ac21371ca303c0f.json,Scan port 53 DNS (S3#)
5f74588ea51355d02ad965bd.json,Scan port 111 PORTMAP (S3#)
5f6b1f16aa679c16731ea9f7.json,Scan port 53 DNS (S3#)
5f65d83102c77d319b66a8d5.json,Scan port 1900 UPnP (S3#)
5f6e6a7c064bf479e4e2169e.json,Scan port 81 Skype (S3#)
5f7e3c7a9408637dfb2c6f24.json,Scan port 139 NETBIOS (S3#)
5f7b99d59ad422a48795a638.json,Scan port 3389 RDP (S3#)
5f7b991b1c3e3e186b55d28a.json,Scan port 135 DCOM RPC (S3#)
5f7e3d152fe0b00993fd4ff4.json,Scan port 3389 RDP (S3#)
5f6c7272f28d7144eae2169e.json,Scan port 445 SMB (S3#)
5f6c6f8dd317c4acc725fc18.json,Scan port 111 PORTMAP (S3#)
5f78d7844702d35d4d983add.json,"curl /api/v1/pulses/subscribed?page=1 -H ""X-OTX-API-KEY: ff9b9b32a1ac9e0acce70f7e874dee798f20b813ee0cc5eaba2ed00745a4b494"
5f687e1121d39965768f91a7.json,Scan port 445 SMB (S3#)
5f65d811755d7fa8582673ec.json,Scan port 139 NETBIOS (S3#)
5f7d941819fb694f68d5a1fb.json,Scan port 81 Skype (S3#)
5f6681d0fa6b2d54b3f89480.json,Scan port 53 DNS (S3#)
5f6b1e9bc7ed6d72f747ddf3.json,Scan port 5060 SIP (S3#)
5f6b1ef7419e34c311aee717.json,Scan port 3389 RDP (S3#)
5f75a9aa2df7c03238415f3f.json,Scan port 8080 HTTP and proxy (S3#)
5f803918a99c3cb497cb8ba4.json,Scan port 445 SMB (S3#)
5f6eef90bb27a66dcc1863a9.json,NewDom-4-20200926
5f6f132065a6d3575c54e02f.json,Scan port 5061 SIP (S3#)
5f66809aced93abfac41204c.json,Scan port 8080 HTTP and proxy (S3#)
5f730747d9071b1765e9b86d.json,Scan port 139 NETBIOS (S3#)
5f7d964224dd20912ea20d9d.json,Scan port 445 SMB (S3#)
5f7d94371934ebcc3e93aceb.json,Scan port 3389 RDP (S3#)
5f6a756c096b49d7648c9a71.json,Scan port 135 DCOM RPC (S3#)
5f7e3cf65ed8c164f5bcd021.json,Scan port 81 Skype (S3#)
5f784e0a87edd9f51d3bafaa.json,Scan port 53 DNS (S3#)
5f6dc142c5f78f6a20bb7f1d.json,Scan port 135 DCOM RPC (S3#)
5f8036538520dffd8112fff7.json,Scan port 135 DCOM RPC (S3#)
5f6dc1235d53cd7a47303c0f.json,Scan port 111 PORTMAP (S3#)
5f5f4eb221f5bf111010c096.json,Scan port 111 PORTMAP (S3#)
5f80df6fa83046bf2bcdf4d0.json,Scan port 81 Skype (S3#)
5f77a4c2836ff07976945292.json,Scan port 5060 SIP (S3#)
5f71b5c5b74ba8734548a71e.json,Scan port 139 NETBIOS (S3#)
5f7e3f263a229f214b0a87c4.json,Scan port 445 SMB (S3#)
5f7f8ddd8dff95398bcb8ba4.json,Scan port 135 DCOM RPC (S3#)
5f71b60318d7c9741148a71e.json,Scan port 5060 SIP (S3#)
5f6dc3f32d2fee2cc6730eda.json,Scan port 23 Telnet (S3#)
5f7064383234e1f61dfbab09.json,Scan port 135 DCOM RPC (S3#)
5f7a4764f9232b78aa888480.json,Scan port 135 DCOM RPC (S3#)
5f7f8eb7c8b03e9307842a6e.json,Scan port 53 DNS (S3#)
5f725e2440e026e8f912fdcc.json,Scan port 111 PORTMAP (S3#)
5f67d33aa9d65265b07a7616.json,Scan port 53 DNS (S3#)
5f7f8e1c53bedbb56656a3aa.json,Scan port 1900 UPnP (S3#)
5f7e3cb8b1f39009f4f69b6a.json,Scan port 5060 SIP (S3#)
5f77a50181e0c4aeaf415f3f.json,Scan port 81 Skype (S3#)
5f7cea749519a04be2e22bd1.json,Scan port 135 DCOM RPC (S3#)
5f765358adeb5df9a3104a89.json,Scan port 5061 SIP (S3#)
5f6680f7ff48a74a8c79597d.json,Scan port 135 DCOM RPC (S3#)
5f6c700bd53c2c5797bb7f1d.json,Scan port 5060 SIP (S3#)
5f6e69490a572f259754e02f.json,Scan port 3306 MYSQL (S3#)
5f784deb6d84ee24cc2e2caf.json,Scan port 3389 RDP (S3#)
5f75aa25392c0ca66881068f.json,Scan port 139 NETBIOS (S3#)
5f76fb2d16f150d724786dcb.json,Scan port 8080 HTTP and proxy (S3#)
5f71b5869381275087fbab09.json,Scan port 111 PORTMAP (S3#)
5f7ceb0d3b9a82a1fd27d8fb.json,Scan port 81 Skype (S3#)
5f7b9bc4639d1f71a1eb5c41.json,Scan port 23 Telnet (S3#)
5f7af2f6a10ff6e1fe2e2caf.json,Scan port 445 SMB (S3#)
5f7e3f0590180b5e2927d8fb.json,Scan port 23 Telnet (S3#)
5f687c25d8809c307dfcea81.json,Scan port 53 DNS (S3#)
5f69ccd62ef83431df58e4bf.json,Scan port 135 DCOM RPC (S3#)
